method,backend,expected_return,volatility,sharpe_ratio,runtime_seconds
classical,cvxpy,0.2651727599547167,0.2051282052356322,1.0002172042554232,0.6110398999999234
quantum (QAOA),aer_simulator,0.2320578486079075,0.1898795180793973,0.9061422229645762,4.1138928000000305
